Sample,Carbon,Guild,Scenario,Mu,K,Bloco,ABS-120,
14,Β-Methil-D-Glucoside,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"0,503103495",
14,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"0,171624422",
14,L-Arginine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"0,1172297",
14,L-Asparigine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"0,735864639",
14,D-Galactoronic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"0,337320805",
14,D-Xylose,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"0,966530085",
14,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K0.5,Mu1,k0.5,4,"0,812914133",
14,Tween 40,Polymers,Mu1K0.5,Mu1,k0.5,4,"0,912540674",
14,I-Erythritol,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"0,229932189",
14,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,0,
14,L-Phenylalanine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"0,312694788",
14,L-Serine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"1,256931067",
14,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"1,410543204",
14,D-Mannitol,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"1,298214674",
14,Tween 80,Polymers,Mu1K0.5,Mu1,k0.5,4,"1,15482378",
14,α-Cyclodextrin,Polymers,Mu1K0.5,Mu1,k0.5,4,"0,958338022",
14,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"1,391165972",
14,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,0,
14,L-Threonine,Amino Acids,Mu1K0.5,Mu1,k0.5,4,0,
14,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K0.5,Mu1,k0.5,4,"0,630431414",
14,Itaconic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"0,442092776",
14,D-Glucosaminic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,"0,729902506",
14,Glycogen,Polymers,Mu1K0.5,Mu1,k0.5,4,0,
14,D-Cellobiose,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"1,241969109",
14,Glucose-1-Phosphate,Miscellaneous,Mu1K0.5,Mu1,k0.5,4,"0,432974816",
14,α-Kentocutyric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,0,
14,Phenylethylamine,Amines/Amides,Mu1K0.5,Mu1,k0.5,4,0,
14,Putrescina,Amines/Amides,Mu1K0.5,Mu1,k0.5,4,"1,538822889",
14,D-Malic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,4,0,
14,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K0.5,Mu1,k0.5,4,"0,753544569",
14,α-D-Lactose,Carbohydates,Mu1K0.5,Mu1,k0.5,4,"0,760020971",
15,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K1,Mu0.1,k1,2,0,
15,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,0,
15,L-Arginine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,0,
15,L-Asparigine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"0,915719509",
15,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,0,
15,D-Xylose,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"1,135875702",
15,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K1,Mu0.1,k1,2,"0,933384895",
15,Tween 40,Polymers,Mu0.1K1,Mu0.1,k1,2,"1,133318186",
15,I-Erythritol,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"0,84537673",
15,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,601502895",
15,L-Phenylalanine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"0,828809499",
15,L-Serine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"1,304996013",
15,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"1,021632671",
15,D-Mannitol,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"0,097834587",
15,Tween 80,Polymers,Mu0.1K1,Mu0.1,k1,2,0,
15,α-Cyclodextrin,Polymers,Mu0.1K1,Mu0.1,k1,2,"0,626988291",
15,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"1,194322586",
15,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,0,
15,L-Threonine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,0,
15,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"0,832103491",
15,Itaconic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"1,514374733",
15,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,917180061",
15,Glycogen,Polymers,Mu0.1K1,Mu0.1,k1,2,"0,283220649",
15,D-Cellobiose,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"1,260971069",
15,Glucose-1-Phosphate,Miscellaneous,Mu0.1K1,Mu0.1,k1,2,"0,38981688",
15,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,0,
15,Phenylethylamine,Amines/Amides,Mu0.1K1,Mu0.1,k1,2,"0,511065006",
15,Putrescina,Amines/Amides,Mu0.1K1,Mu0.1,k1,2,"1,417843342",
15,D-Malic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,015654087",
15,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K1,Mu0.1,k1,2,"1,027718305",
15,α-D-Lactose,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"0,422487139",
16,Β-Methil-D-Glucoside,Carbohydates,Mu1K1,Mu1,k1,3,"0,441088676",
16,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K1,Mu1,k1,3,"0,089493632",
16,L-Arginine,Amino Acids,Mu1K1,Mu1,k1,3,"0,028216362",
16,L-Asparigine,Amino Acids,Mu1K1,Mu1,k1,3,"0,986008167",
16,D-Galactoronic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,"0,899927616",
16,D-Xylose,Carbohydates,Mu1K1,Mu1,k1,3,"0,719693422",
16,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K1,Mu1,k1,3,"0,695498943",
16,Tween 40,Polymers,Mu1K1,Mu1,k1,3,"0,85505867",
16,I-Erythritol,Carbohydates,Mu1K1,Mu1,k1,3,"0,272767782",
16,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,0,
16,L-Phenylalanine,Amino Acids,Mu1K1,Mu1,k1,3,0,
16,L-Serine,Amino Acids,Mu1K1,Mu1,k1,3,"1,034279346",
16,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,"1,29050827",
16,D-Mannitol,Carbohydates,Mu1K1,Mu1,k1,3,"0,53125143",
16,Tween 80,Polymers,Mu1K1,Mu1,k1,3,"0,900413513",
16,α-Cyclodextrin,Polymers,Mu1K1,Mu1,k1,3,"0,801234484",
16,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K1,Mu1,k1,3,"1,309813022",
16,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,0,
16,L-Threonine,Amino Acids,Mu1K1,Mu1,k1,3,0,
16,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K0.5,Mu1,k0.5,3,"0,941200733",
16,Itaconic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"1,209545851",
16,D-Glucosaminic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,544782638",
16,Glycogen,Polymers,Mu1K0.5,Mu1,k0.5,3,"0,358753204",
16,D-Cellobiose,Carbohydates,Mu1K0.5,Mu1,k0.5,3,"1,294110775",
16,Glucose-1-Phosphate,Miscellaneous,Mu1K0.5,Mu1,k0.5,3,"0,508105278",
16,α-Kentocutyric Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,3,"0,168566704",
16,Phenylethylamine,Amines/Amides,Mu1K0.5,Mu1,k0.5,3,"0,109196186",
16,Putrescina,Amines/Amides,Mu1K1,Mu1,k1,3,"1,497849464",
16,D-Malic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,3,0,
16,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K1,Mu1,k1,3,"1,070278168",
16,α-D-Lactose,Carbohydates,Mu1K1,Mu1,k1,3,"0,246718764",
22,Β-Methil-D-Glucoside,Carbohydates,Mu1K1,Mu1,k1,4,0,
22,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K1,Mu1,k1,4,0,
22,L-Arginine,Amino Acids,Mu1K1,Mu1,k1,4,0,
22,L-Asparigine,Amino Acids,Mu1K1,Mu1,k1,4,"1,408812881",
22,D-Galactoronic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"1,441639543",
22,D-Xylose,Carbohydates,Mu1K1,Mu1,k1,4,"1,301115155",
22,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K1,Mu1,k1,4,"1,422342658",
22,Tween 40,Polymers,Mu1K1,Mu1,k1,4,"1,205157399",
22,I-Erythritol,Carbohydates,Mu1K1,Mu1,k1,4,"0,866970658",
22,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"0,667574167",
22,L-Phenylalanine,Amino Acids,Mu1K1,Mu1,k1,4,"1,007564187",
22,L-Serine,Amino Acids,Mu1K1,Mu1,k1,4,"1,555175185",
22,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"1,612143636",
22,D-Mannitol,Carbohydates,Mu1K1,Mu1,k1,4,"1,530346274",
22,Tween 80,Polymers,Mu1K1,Mu1,k1,4,"1,439939141",
22,α-Cyclodextrin,Polymers,Mu1K1,Mu1,k1,4,"0,783563972",
22,N-Acetyl-D-Glucosamina,Carbohydates,Mu1K1,Mu1,k1,4,"1,219688535",
22,T-Hydroxybutiric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,0,
22,L-Threonine,Amino Acids,Mu1K1,Mu1,k1,4,0,
22,Glycyl-L-Glutamic Acid,Amino Acids,Mu1K1,Mu1,k1,4,"1,376668096",
22,Itaconic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"1,606331945",
22,D-Glucosaminic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"1,120515704",
22,Glycogen,Polymers,Mu1K1,Mu1,k1,4,"0,909643293",
22,D-Cellobiose,Carbohydates,Mu1K1,Mu1,k1,4,"1,577720285",
22,Glucose-1-Phosphate,Miscellaneous,Mu1K1,Mu1,k1,4,"0,372627616",
22,α-Kentocutyric Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"0,340693355",
22,Phenylethylamine,Amines/Amides,Mu1K1,Mu1,k1,4,"0,321322203",
22,Putrescina,Amines/Amides,Mu1K1,Mu1,k1,4,"1,629091144",
22,D-Malic Acid,Carboxylic Acids,Mu1K1,Mu1,k1,4,"0,633611322",
22,"D,L-α-Glycerolphosphate",Miscellaneous,Mu1K1,Mu1,k1,4,"1,176188111",
22,α-D-Lactose,Carbohydates,Mu1K1,Mu1,k1,4,"1,187029004",
23,Β-Methil-D-Glucoside,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"0,968775272",
23,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,811480045",
23,L-Arginine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"0,427469253",
23,L-Asparigine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"0,575953245",
23,D-Galactoronic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,359148383",
23,D-Xylose,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"0,248505592",
23,Pyruvic Acid Methyl Ester,Miscellaneous,Mu0.1K1,Mu0.1,k1,2,"0,020227909",
23,Tween 40,Polymers,Mu0.1K1,Mu0.1,k1,2,"0,396554708",
23,I-Erythritol,Carbohydates,Mu0.1K1,Mu0.1,k1,2,0,
23,2-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,000254869",
23,L-Phenylalanine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"0,083915591",
23,L-Serine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"1,215929031",
23,4-Hydroxy Benzoic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"1,141135216",
23,D-Mannitol,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"0,301437378",
23,Tween 80,Polymers,Mu0.1K1,Mu0.1,k1,2,"1,140696525",
23,α-Cyclodextrin,Polymers,Mu0.1K1,Mu0.1,k1,2,"0,582280636",
23,N-Acetyl-D-Glucosamina,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"1,793678284",
23,T-Hydroxybutiric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,0,
23,L-Threonine,Amino Acids,Mu0.1K1,Mu0.1,k1,2,0,
23,Glycyl-L-Glutamic Acid,Amino Acids,Mu0.1K1,Mu0.1,k1,2,"1,19038558",
23,Itaconic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"1,193935156",
23,D-Glucosaminic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,661443949",
23,Glycogen,Polymers,Mu0.1K1,Mu0.1,k1,2,"0,871449709",
23,D-Cellobiose,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"1,494584083",
23,Glucose-1-Phosphate,Miscellaneous,Mu0.1K1,Mu0.1,k1,2,"1,016854286",
23,α-Kentocutyric Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,048406243",
23,Phenylethylamine,Amines/Amides,Mu0.1K1,Mu0.1,k1,2,0,
23,Putrescina,Amines/Amides,Mu0.1K1,Mu0.1,k1,2,"1,639187336",
23,D-Malic Acid,Carboxylic Acids,Mu0.1K1,Mu0.1,k1,2,"0,15199399",
23,"D,L-α-Glycerolphosphate",Miscellaneous,Mu0.1K1,Mu0.1,k1,2,"0,550613642",
23,α-D-Lactose,Carbohydates,Mu0.1K1,Mu0.1,k1,2,"0,783457279",
24,Β-Methil-D-Glucoside,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,334338427",
24,D-Galactonic Acid T-Lactose,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,"0,082787156",
24,L-Arginine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,0,
24,L-Asparigine,Amino Acids,Mu1K0.5,Mu1,k0.5,2,"0,103209972",
24,D-Galactoronic Acid,Carboxylic Acids,Mu1K0.5,Mu1,k0.5,2,"0,26693058",
24,D-Xylose,Carbohydates,Mu1K0.5,Mu1,k0.5,2,"0,560927868",
24,Pyruvic Acid Methyl Ester,Miscellaneous,Mu1K0.5,Mu1,k0.5,2,"0,597494841",
